locale|uk_UA
DIALOG_PIRATE_BUSINESS_ORE_III|Ми маємо трохи руди на продаж. Висока якість, оброблена, просто чекає в кільцях у гарній, акуратній тарі. Потрібно просто взяти з собою люльку і забрати її. 100 тисяч і вона ваша.

DIALOG_PIRATE_BUSINESS_ORE_IV|Ми маємо трохи руди на продаж. Висока якість, оброблена, просто чекає в кільцях у гарній, акуратній тарі. Потрібно просто взяти з собою люльку і забрати її. 100 тисяч і вона ваша.

DIALOG_PIRATE_BUSINESS_ORE_V|Ми маємо трохи руди на продаж. Висока якість, оброблена, просто чекає в кільцях у гарній, акуратній тарі. Потрібно просто взяти з собою люльку і забрати її. 100 тисяч і вона ваша.

DIALOG_PIRATE_BUSINESS_ORE_VI|У нас є велика кількість руди на продаж. Високоякісна оброблена руда, що зберігається в одному з суперконтейнерів THI. Вам просто потрібно принести люльку і свою кмітливість з собою, щоб забрати її. 100 тисяч і вона ваша.

DIALOG_PIRATE_BUSINESS_ORE_BIG_INSTRUCTIONS|Приємно мати з вами справу. Контейнер не розпізнає вас і спробує ухилитися. Як зазвичай, це не гоночний дрон, однак у нього набагато більше потужності, ніж у звичайного THICC. Шукайте контакт LIDAR і переслідуйте його. Не забудьте взяти люльку або маніпулятор - він вимкнеться сам, коли ви будете на відстані EVA.

SYSTEM_EXBIG|Міжмісячний контейнер THI

SYSTEM_EXBIG_DESC|Після успіху, якого досягло попереднє вантажне рішення THI, вони почали роботу над наступником, який був би все більш практичним для міжпланетного транспортування. Наскільки успішним був початковий проект, контейнери були занадто громіздкими для комерційного використання, тому була створена споживча модель для міжмісячного транспортування між кільцями. Значно зручніший для шахтарів, і відсутність потреби в спеціалізованих двигунах для їх роботи зробила технічне обслуговування еквівалентним оригінальній лінійці вантажних контейнерів, однак витрати на установку все ще роблять THICC популярним серед початківців.

SYSTEM_EXBIG_SPECS|Місткість контейнеру: 45,000 кг / мінерал \nЕнергоспоживання: (номінальне): 20 MW \nСуха маса контейнеру: 5,000 кг \nМаса люльки: 500 кг \nЗапас робочого тіла: 4,500 кг \nВиробник: Titan Heavy Industries, Experimental Resize

SYSTEM_EXBIG_MANUAL|Автоматично зберігає перероблену руду.\nВиди руди на зберіганні вибираються на вкладці «Геолог» \nДля ефективного використання потрібна установка переробки мінералів. \nВстановлення лише одного контейнера може порушити розважування корабля. \nМоже бути скинутий відключенням підвісу. \nСкинутий контейнер спробує автоматично повернутися на станцію з вантажем. \nПорожня люлька може використовуватися для підбору дронів і рятувальних капсул.

POI_SCRAP|Місце шахтарського інциденту

DIALOG_POI_RANDOM_6|Капітане, один з моїх старих колег розшукав мене в моїй каюті, коли ми були на Енцеладі. Вони сказали мені, що мій старий капітан потрапив у шахтарський інцидент. Можемо ми подивитися, чи все з ними гаразд?

DERELICTDELIGHTS_SUGGEST|Запропонувати нові конфігурації суден

DIALOG_STORAGE_THX|Контейнер скоро має з'явитися на LIDAR. Вам потрібно буде вручну зібрати контейнер згідно з протоколами безпеки. Зверніть увагу, що контейнери не можна відправляти швидко один за одним.

NEARBYCONTAINER|Порожній Вантажний Контейнер Поблизу

NEARBYCONTAINERMONO|Порожній Моновантажний Контейнер Поблизу

DIALOG_STORAGE_NEED_CONTAINER|Мені потрібен запасний контейнер

DIALOG_STORAGE_THIMC|Мені потрібен новий моновантажний контейнер!

DIALOG_STORAGE_THICC|Мені потрібен новий вантажний контейнер!

DIALOG_STORAGE_OPTIONS|Який тип контейнера ви б хотіли?

DIALOG_HABITAT_NEED_W|Вітаємо {target/shipname}. У вас є оброблений вольфрам на продаж? Скелет житлового модуля потребує ремонту.

DIALOG_HABITAT_NEED_W_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам дуже потрібен оброблений вольфрам, скелет втратив частину цілісності. Ми добре заплатимо.

DIALOG_HABITAT_NEED_BE|Вітаємо {target/shipname}. У вас є оброблений берилій на продаж? Нашому реактору потрібно поповнити запас запасних відбивачів.

DIALOG_HABITAT_NEED_BE_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам дуже потрібен оброблений берилій, наш реактор потребує обслуговування, і у нас недостатньо відбивачів. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_W|Вітаємо {target/shipname}. У вас є оброблений вольфрам на продаж? Нашому скелету потрібне швидке зміцнення перед закріпленням.

DIALOG_HABITAT_CONSTRUCTION_NEED_W_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам дуже потрібен оброблений вольфрам, ми відстаємо від графіка завершення скелета, а наша поставка вже запізнюється. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_V|Вітаємо {target/shipname}. У вас є оброблений ванадій на продаж? Нам потрібно поповнити запас інструментальних головок.

DIALOG_HABITAT_CONSTRUCTION_NEED_V_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам терміново потрібен ванадій, у нас повністю закінчилися інструментальні головки, а наша поставка запізнюється. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_FE|Вітаємо {target/shipname}. У вас є оброблене залізо на продаж? Нам потрібен додатковий матеріал для зміцнення нашої рами.

DIALOG_HABITAT_CONSTRUCTION_NEED_FE_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам терміново потрібне залізо, нам терміново потрібен ремонт рами, а наша поставка запізнюється. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_PT|Вітаємо {target/shipname}. У вас є оброблена платина на продаж? Нам потрібно виправити проблему з проводкою.

DIALOG_HABITAT_CONSTRUCTION_NEED_PT_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам терміново потрібна платина, у нас серйозні проблеми з електрикою, а наша поставка запізнюється. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_PD|Вітаємо {target/shipname}. У вас є оброблений паладій на продаж? Нам потрібно поповнити наші скрубери.

DIALOG_HABITAT_CONSTRUCTION_NEED_PD_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам терміново потрібен паладій, нам терміново потрібна робота над нашими скруберами. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_BE|Вітаємо {target/shipname}. У вас є оброблений берилій на продаж? Нашому реактору потрібні запасні відбивачі.

DIALOG_HABITAT_CONSTRUCTION_NEED_BE_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам дуже потрібен оброблений берилій, наш реактор терміново потребує обслуговування через вплив середовища, і у нас недостатньо відбивачів. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_WATER|Вітаємо {target/shipname}. У вас є робоча маса на продаж? Ми близькі до негативного балансу споживання води.

DIALOG_HABITAT_CONSTRUCTION_NEED_WATER_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам терміново потрібна робоча маса, наш водяний бак майже порожній, і у нас немає процесора для її відновлення. Ми добре заплатимо.

POI_HABITAT_BUILDING|Житлова cтанція у будівництві

DIALOG_MINER_SEEN_YES_BUILDING|Ми проминули нову житлову станції неподалік, вони проводили будівництво і потребували обробленої руди - але у нас немає мінерального процесора на {origin/shipname}."

SYSTEM_EXSUPER|Експериментальний Міжпланетний Контейнер

SYSTEM_EXSUPER_DESC|Міжпланетний контейнер, створений за зразком успішного вантажного контейнера THI, мав стати рішенням для довготривалого зберігання, еквівалентним для постачання як тимчасових, так і постійних дослідницьких і житлових станцій в поясах і кільцях Сола, і був розрахований на вміст у 6 разів більший, ніж класичний THICC. Цей додатковий простір зробив контейнер значно важчим, що вимагало встановлення шести гоночних реактивних двигунів, а також облаштування зовнішніх баків для їх живлення. Ця збільшена маса зробила його дуже непрактичним для польотів і призвела до того, що більшість кораблів стали надто некерованими, а отже, непридатними до високої маневреності, необхідної для безпечної експлуатації в кільцях. Зараз вони використовуються виключно для міжпланетних подорожей. \n\nЗавдяки тому, як працює ліцензування обладнання на Енцеладі Прайм, їх все ще можна отримати, незважаючи на поблажливе ставлення до них через «Дідове положення», що дозволяє будь-якому капітану, який законно врятував судно з відповідними документами і ліцензією, мати можливість використовувати їх на будь-якому з кораблів своєї компанії.

SYSTEM_EXSUPER_SPECSМісткість вантажу: 120,000 кг / мінерал \nЕнергоспоживання (номінальне): 20 MW \nСуха маса контейнеру: 25,000 кг \nМаса люльки: 500 кг \nЗапас робочого тіла: 30,000 кг \nВиробник: Дідове положення (спочатку Titan Heavy Industries)"

SYSTEM_EXSUPER_MANUAL|Автоматично зберігає перероблену руду.\nВиди руди на зберіганні вибираються на вкладці «Геолог» \nДля ефективного використання потрібна установка переробки мінералів. \nВстановлення лише одного контейнера може порушити розважування корабля. \nМоже бути скинутий відключенням підвісу. \nСкинутий контейнер спробує автоматично повернутися на станцію з вантажем. \nПорожня люлька може використовуватися для підбору дронів і рятувальних капсул.\nЦей контейнер занадто великий для стандартних док-станцій.

DIALOG_INTERPLANETARY_WEIRD|Що не так з цим контейнером? У нього дуже високотехнологічні двигуни як для контейнера, навіть якщо він і завеликий. Можливо, хтось на кшталт історика міг би дати нам краще розуміння?

AGENDA_HISTORIAN_INTERPLANETARY_IS_IT|Зачекайте, хіба це не один з тих міжпланетних контейнерів? Я знав, що він виглядає занадто великим для чогось комерційного.

AGENDA_HISTORIAN_INTERPLANETARY_IT_IS|Так, згідно з цим записом у базі даних, про історію вантажних контейнерів, міжпланетний контейнер є попередником міжмісячного, проте був заборонений для використання в кільцях через витрати на надійність та нестабільні зміщення маси.

AGENDA_HISTORIAN_INTERPLANETARY_WONDER|Б'юся об заклад, якщо ми зможемо знайти корабель з одним із тих експериментальних контейнерів, ми могли б отримати ліцензію за дідовим положенням. Він все ще міг би бути корисним, навіть попри те, наскільки ненадійними їх вважали.

DIALOG_HABITAT_BUILDING_CONTAINER_ASK|Ми знайшли один з тих міжпланетних контейнерів, що просто лежав у кільцях. У нього не було транспондера, тому ми перепрограмували його як наш і відправили додому. Ми думали, що їх просто знаходять покинутими після невдалих випробувань, до того як їх заборонили.

DIALOG_HABITAT_BUILDING_CONTAINER_EXPLAIN|Це був один з контейнерів, які нам надіслали. Ми відставали від графіка і прийняли рішення використати їх, щоб пришвидшити доставку мінералів. Ми не думали, що втратимо так багато через піратів.

DIALOG_HABITAT_BUILDING_CONTAINER_GRANDFATHER|Хоч контейнери і заборонені в кільцях, у нас є підрядник, якому пощастило знайти покинутий корабель зі старих випробувань. Документи на контейнери все ще були цілі, і йому дозволили використовувати їх за дідівською ліцензією. 

DIALOG_HABITAT_BUILDING_CONTAINER_FIND|Мало кораблів з ними взагалі випробовувалися в кільцях, тому знайти такий практично неможливо. Якщо розпитаєте навкруги, можливо, зможете знайти когось, хто щось знає про них, вони можуть допомогти більше, ніж ми.

DIALOG_ASK_ABOUT_SUPER_THICC|Ми хотіли дізнатися, чи знаєте ви щось про те, що залишилося від експериментальних міжпланетних вантажних контейнерів, які випробовували в кільцях?"

DIALOG_ASK_SORRY|Вибачте, нічого від нас. Ми чули лише чутки про них.

DIALOG_ASK_HINTS|Ми нічого не знаємо, але час від часу трапляються екіпажі, які намагаються знайти рідкісні чи унікальні предмети на кшталт цих. Можливо, вам пощастить більше, якщо зустрінете одного з таких капітанів.

DIALOG_ASK_ACTUALLY_YES|Насправді, так, у нас дещо є. Ми знайшли цей старий корабель, який, як ми вважаємо, використовувався для їх випробувань. Ми зберегли координати, і це недалеко звідси. Судячи з усього, вам він може бути потрібніший, ніж нам, якщо ви питаєте.

DIALOG_SUPER_THICC_DERELICT_THIS||Що ж, це має бути один із випробувальних кораблів для міжпланетного контейнера. Схоже, на ньому не встановлено жодного, тож будемо сподіватися, що на борту є необхідні документи.

DIALOG_SUPER_THICC_DERELICT_THIS_GO|У вас готовий скафандр, {agenda/firstname}? Ми повинні це перевірити.

DIALOG_SUPER_THICC_DERELICT_THIS_EVA|Вже готую. Зробимо цю подорож якомога легшою.

DIALOG_SUPER_THICC_DERELICT_THIS_DOCUMENTS|Схоже, від цього мотлоху справді поспіхом позбулися. У салоні повно паперів. На щастя, здається, ліцензійні документи все ще в їхній шухляді. Здається, з ними все гаразд.

DIALOG_SUPER_THICC_DERELICT_THIS_TAKE|Хоч ззовні він виглядає доволі пошкодженим, переглядаючи його системи з комп'ютера, багато що все ще працює, і реактор, принаймні, здається функціональним. Я візьму його на пробу і розберуся з рештою на Енцеладі.
