locale|uk_UA
DIALOG_PIRATE_BUSINESS_ORE_V|Ми маємо трохи руди на продаж. Висока якість, оброблена, просто чекає в кільцях у гарній, акуратній тарі. Потрібно просто взяти з собою люльку і забрати її. 100 тисяч і вона ваша.

DIALOG_PIRATE_BUSINESS_ORE_VI|У нас є велика кількість руди на продаж. Високоякісна оброблена руда, що зберігається в одному з суперконтейнерів THI. Вам просто потрібно принести люльку і свою кмітливість з собою, щоб забрати її. 100 тисяч і вона ваша.

DIALOG_PIRATE_BUSINESS_ORE_BIG_INSTRUCTIONS|Приємно мати з вами справу. Контейнер не розпізнає вас і спробує ухилитися. Як зазвичай, це не гоночний дрон, однак у нього набагато більше потужності, ніж у звичайного THICC. Шукайте контакт LIDAR і переслідуйте його. Не забудьте взяти люльку або маніпулятор - він вимкнеться сам, коли ви будете на відстані EVA.

SYSTEM_EXBIG|Міжмісячний контейнер THI

SYSTEM_EXBIG_DESC|Після успіху, якого досягло попереднє вантажне рішення THI, вони почали роботу над наступником, який був би все більш практичним для міжпланетного транспортування. Наскільки успішним був початковий проект, контейнери були занадто громіздкими для комерційного використання, тому була створена споживча модель для міжмісячного транспортування між кільцями. Значно зручніший для шахтарів, і відсутність потреби в спеціалізованих двигунах для їх роботи зробила технічне обслуговування еквівалентним оригінальній лінійці вантажних контейнерів, однак витрати на установку все ще роблять THICC популярним серед початківців.

SYSTEM_EXBIG_SPECS|Місткість контейнеру: 45,000 кг / мінерал \nЕнергоспоживання: (номінальне): 20 MW \nСуха маса контейнеру: 5,000 кг \nМаса люльки: 500 кг \nЗапас робочого тіла: 4,500 кг \nВиробник: Titan Heavy Industries, Experimental Resize

SYSTEM_EXBIG_MANUAL|Автоматично зберігає перероблену руду.\nВиди руди на зберіганні вибираються на вкладці «Геолог» \nДля ефективного використання потрібна установка переробки мінералів. \nВстановлення лише одного контейнера може порушити розважування корабля. \nМоже бути скинутий відключенням підвісу. \nСкинутий контейнер спробує автоматично повернутися на станцію з вантажем. \nПорожня люлька може використовуватися для підбору дронів і рятувальних капсул.

POI_SCRAP|Місце шахтарського інциденту

DIALOG_POI_RANDOM_6|Капітане, один з моїх старих колег розшукав мене в моїй каюті, коли ми були на Енцеладі. Вони сказали мені, що мій старий капітан потрапив у шахтарський інцидент. Можемо ми подивитися, чи все з ними гаразд?

DERELICTDELIGHTS_SUGGEST|Запропонувати нові конфігурації суден

DIALOG_STORAGE_THX|Контейнер скоро має з'явитися на LIDAR. Вам потрібно буде вручну зібрати контейнер згідно з протоколами безпеки. Зверніть увагу, що контейнери не можна відправляти швидко один за одним.

NEARBYCONTAINER|Порожній Вантажний Контейнер Поблизу

NEARBYCONTAINERMONO|Порожній Моновантажний Контейнер Поблизу

DIALOG_STORAGE_NEED_CONTAINER|Мені потрібен запасний контейнер

DIALOG_STORAGE_THIMC|Мені потрібен новий моновантажний контейнер!

DIALOG_STORAGE_THICC|Мені потрібен новий вантажний контейнер!

DIALOG_STORAGE_OPTIONS|Який тип контейнера ви б хотіли?

DIALOG_HABITAT_NEED_W|Вітаємо {target/shipname}. У вас є оброблений вольфрам на продаж? Скелет житлового модуля потребує ремонту.

DIALOG_HABITAT_NEED_W_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам дуже потрібен оброблений вольфрам, скелет втратив частину цілісності. Ми добре заплатимо.

DIALOG_HABITAT_NEED_BE|Вітаємо {target/shipname}. У вас є оброблений берилій на продаж? Нашому реактору потрібно поповнити запас запасних відбивачів.

DIALOG_HABITAT_NEED_BE_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам дуже потрібен оброблений берилій, наш реактор потребує обслуговування, і у нас недостатньо відбивачів. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_W|Вітаємо {target/shipname}. У вас є оброблений вольфрам на продаж? Нашому скелету потрібне швидке зміцнення перед закріпленням.

DIALOG_HABITAT_CONSTRUCTION_NEED_W_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам дуже потрібен оброблений вольфрам, ми відстаємо від графіка завершення скелета, а наша поставка вже запізнюється. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_V|Вітаємо {target/shipname}. У вас є оброблений ванадій на продаж? Нам потрібно поповнити запас інструментальних головок.

DIALOG_HABITAT_CONSTRUCTION_NEED_V_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам терміново потрібен ванадій, у нас повністю закінчилися інструментальні головки, а наша поставка запізнюється. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_FE|Вітаємо {target/shipname}. У вас є оброблене залізо на продаж? Нам потрібен додатковий матеріал для зміцнення нашої рами.

DIALOG_HABITAT_CONSTRUCTION_NEED_FE_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам терміново потрібне залізо, нам терміново потрібен ремонт рами, а наша поставка запізнюється. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_PT|Вітаємо {target/shipname}. У вас є оброблена платина на продаж? Нам потрібно виправити проблему з проводкою.

DIALOG_HABITAT_CONSTRUCTION_NEED_PT_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам терміново потрібна платина, у нас серйозні проблеми з електрикою, а наша поставка запізнюється. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_PD|Вітаємо {target/shipname}. У вас є оброблений паладій на продаж? Нам потрібно поповнити наші скрубери.

DIALOG_HABITAT_CONSTRUCTION_NEED_PD_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам терміново потрібен паладій, нам терміново потрібна робота над нашими скруберами. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_BE|Вітаємо {target/shipname}. У вас є оброблений берилій на продаж? Нашому реактору потрібні запасні відбивачі.

DIALOG_HABITAT_CONSTRUCTION_NEED_BE_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам дуже потрібен оброблений берилій, наш реактор терміново потребує обслуговування через вплив середовища, і у нас недостатньо відбивачів. Ми добре заплатимо.

DIALOG_HABITAT_CONSTRUCTION_NEED_WATER|Вітаємо {target/shipname}. У вас є робоча маса на продаж? Ми близькі до негативного балансу споживання води.

DIALOG_HABITAT_CONSTRUCTION_NEED_WATER_DESPERATE|Я дуже радий бачити вас, {target/shipname}, нам терміново потрібна робоча маса, наш водяний бак майже порожній, і у нас немає процесора для її відновлення. Ми добре заплатимо.

POI_HABITAT_BUILDING|Житлова cтанція у будівництві

DIALOG_MINER_SEEN_YES_BUILDING|Ми проминули нову житлову станції неподалік, вони проводили будівництво і потребували обробленої руди - але у нас немає мінерального процесора на {origin/shipname}."

SYSTEM_EXSUPER|Експериментальний Міжпланетний Контейнер

SYSTEM_EXSUPER_DESC|Міжпланетний контейнер, створений за зразком успішного вантажного контейнера THI, мав стати рішенням для довготривалого зберігання, еквівалентним для постачання як тимчасових, так і постійних дослідницьких і житлових станцій в поясах і кільцях Сола, і був розрахований на вміст у 6 разів більший, ніж класичний THICC. Цей додатковий простір зробив контейнер значно важчим, що вимагало встановлення шести гоночних реактивних двигунів, а також облаштування зовнішніх баків для їх живлення. Ця збільшена маса зробила його дуже непрактичним для польотів і призвела до того, що більшість кораблів стали надто некерованими, а отже, непридатними до високої маневреності, необхідної для безпечної експлуатації в кільцях. Зараз вони використовуються виключно для міжпланетних подорожей. \n\nЗавдяки тому, як працює ліцензування обладнання на Енцеладі Прайм, їх все ще можна отримати, незважаючи на поблажливе ставлення до них через «Дідове положення», що дозволяє будь-якому капітану, який законно врятував судно з відповідними документами і ліцензією, мати можливість використовувати їх на будь-якому з кораблів своєї компанії.

SYSTEM_EXSUPER_SPECSМісткість вантажу: 120,000 кг / мінерал \nЕнергоспоживання (номінальне): 20 MW \nСуха маса контейнеру: 25,000 кг \nМаса люльки: 500 кг \nЗапас робочого тіла: 30,000 кг \nВиробник: Дідове положення (спочатку Titan Heavy Industries)"

SYSTEM_EXSUPER_MANUAL|Автоматично зберігає перероблену руду.\nВиди руди на зберіганні вибираються на вкладці «Геолог» \nДля ефективного використання потрібна установка переробки мінералів. \nВстановлення лише одного контейнера може порушити розважування корабля. \nМоже бути скинутий відключенням підвісу. \nСкинутий контейнер спробує автоматично повернутися на станцію з вантажем. \nПорожня люлька може використовуватися для підбору дронів і рятувальних капсул.\nЦей контейнер занадто великий для стандартних док-станцій.

DIALOG_INTERPLANETARY_WEIRD|Що не так з цим контейнером? У нього дуже високотехнологічні двигуни як для контейнера, навіть якщо він і завеликий. Можливо, хтось на кшталт історика міг би дати нам краще розуміння?

AGENDA_HISTORIAN_INTERPLANETARY_IS_IT|Зачекайте, хіба це не один з тих міжпланетних контейнерів? Я знав, що він виглядає занадто великим для чогось комерційного.

AGENDA_HISTORIAN_INTERPLANETARY_IT_IS|Так, згідно з цим записом у базі даних, про історію вантажних контейнерів, міжпланетний контейнер є попередником міжмісячного, проте був заборонений для використання в кільцях через витрати на надійність та нестабільні зміщення маси.

AGENDA_HISTORIAN_INTERPLANETARY_WONDER|Б'юся об заклад, якщо ми зможемо знайти корабель з одним із тих експериментальних контейнерів, ми могли б отримати ліцензію за дідовим положенням. Він все ще міг би бути корисним, навіть попри те, наскільки ненадійними їх вважали.

DIALOG_HABITAT_BUILDING_CONTAINER_ASK|Ми знайшли один з тих міжпланетних контейнерів, що просто лежав у кільцях. У нього не було транспондера, тому ми перепрограмували його як наш і відправили додому. Ми думали, що їх просто знаходять покинутими після невдалих випробувань, до того як їх заборонили.

DIALOG_HABITAT_BUILDING_CONTAINER_EXPLAIN|Це був один з контейнерів, які нам надіслали. Ми відставали від графіка і прийняли рішення використати їх, щоб пришвидшити доставку мінералів. Ми не думали, що втратимо так багато через піратів.

DIALOG_HABITAT_BUILDING_CONTAINER_GRANDFATHER|Хоч контейнери і заборонені в кільцях, у нас є підрядник, якому пощастило знайти покинутий корабель зі старих випробувань. Документи на контейнери все ще були цілі, і йому дозволили використовувати їх за дідівською ліцензією. 

DIALOG_HABITAT_BUILDING_CONTAINER_FIND|Мало кораблів з ними взагалі випробовувалися в кільцях, тому знайти такий практично неможливо. Якщо розпитаєте навкруги, можливо, зможете знайти когось, хто щось знає про них, вони можуть допомогти більше, ніж ми.

DIALOG_ASK_ABOUT_SUPER_THICC|Ми хотіли дізнатися, чи знаєте ви щось про те, що залишилося від експериментальних міжпланетних вантажних контейнерів, які випробовували в кільцях?"

DIALOG_ASK_SORRY|Вибачте, нічого від нас. Ми чули лише чутки про них.

DIALOG_ASK_HINTS|Ми нічого не знаємо, але час від часу трапляються екіпажі, які намагаються знайти рідкісні чи унікальні предмети на кшталт цих. Можливо, вам пощастить більше, якщо зустрінете одного з таких капітанів.

DIALOG_ASK_ACTUALLY_YES|Насправді, так, у нас дещо є. Ми знайшли цей старий корабель, який, як ми вважаємо, використовувався для їх випробувань. Ми зберегли координати, і це недалеко звідси. Судячи з усього, вам він може бути потрібніший, ніж нам, якщо ви питаєте.

DIALOG_SUPER_THICC_DERELICT_THIS||Що ж, це має бути один із випробувальних кораблів для міжпланетного контейнера. Схоже, на ньому не встановлено жодного, тож будемо сподіватися, що на борту є необхідні документи.

DIALOG_SUPER_THICC_DERELICT_THIS_GO|У вас готовий скафандр, {agenda/firstname}? Ми повинні це перевірити.

DIALOG_SUPER_THICC_DERELICT_THIS_EVA|Вже готую. Зробимо цю подорож якомога легшою.

DIALOG_SUPER_THICC_DERELICT_THIS_DOCUMENTS|Схоже, від цього мотлоху справді поспіхом позбулися. У салоні повно паперів. На щастя, здається, ліцензійні документи все ще в їхній шухляді. Здається, з ними все гаразд.

DIALOG_SUPER_THICC_DERELICT_THIS_TAKE|Хоч ззовні він виглядає доволі пошкодженим, переглядаючи його системи з комп'ютера, багато що все ще працює, і реактор, принаймні, здається функціональним. Я візьму його на пробу і розберуся з рештою на Енцеладі.

DIALOG_STORAGE_DYNA|Мені потрібен новий Dyna-контейнер!

DIALOG_PIRATE_BUSINESS_SHIP_DRONE_OCP|Знайшли цивільну модифікацію одного з тих будівельних кораблів — має додаткову точку для дронів. Самі не знайшли їй застосування, тож віддамо за 350 тисяч

DIALOG_PIRATE_BUSINESS_SHIP_HEAVY_COTHON|Тут у нас дивний апгрейд стародавнього Cothon: замінили одну з передніх низькоміцних точок кріплення на високоміцну. Виглядає ненадійно, але якщо ризик вас не лякає — 250 тисяч, і ваш.

DIALOG_PIRATE_BUSINESS_SHIP_TSUKUYOMI|Наштовхнулись на дуже старий фрегат Tsukuyomi. Розбитий ущент, по суті — брухт, але корпус цілий. Величезна річ — тому просимо 7,5 мільйона.

DIALOG_PIRATE_BUSINESS_SHIP_STUB|У мене тут є короткий варіант Титана. Він має пристойну комплектацію, але дуже дивний вибір того, що на нього можна встановити. 900 тисяч, і ваш.

DIALOG_PIRATE_BUSINESS_SHIP_ATLAS|Маємо експериментальну модифікацію ATLAS Edgerunner: прикріплено рятувальну капсулу та інший мотлох, щоб екіпаж міг керувати. Не знаємо, наскільки це законно, але віддамо за 400 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_LUX|Тримаємо преміальний Cothon. Вдосконалений майже у всьому порівняно з базовою моделлю, тому ціну підняли проти звичайної для цієї лінійки. 250 тисяч за все.

DIALOG_PIRATE_BUSINESS_SHIP_PIDGEON|Маємо Pidgeon Prospector — це модифікація Vulture з розширеним вантажним відсіком і функціоналом Pelican. Увесь ваш за 550 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_CERF|Десь неподалік є цивільна модифікація пошуково-рятувальних кораблів MAD-CERF. Бракує декількох звичних функцій, замінена житлова станція і точки кріплення, що робить його його субоптимальним для нашого використання, тому пропонуємо вам за 800 тисяч, якщо зацікавить.

DIALOG_PIRATE_BUSINESS_SHIP_OBERON|Ми знайшли потужний гоночний корабель. Диво, що він досі цілий, зважаючи на те, як сильно пошкоджені деякі його частини, але все ще стоїть у своїй красі. 1 мільйон за нього.

DIALOG_PIRATE_BUSINESS_SHIP_DEEP_DISH|Маємо гірничу модифікацію будівельного корабля. По суті, додає декілька функцій до оригінального судна, щоб трохи полегшити видобуток, тому не надто корисна нам. Весь ваш за 500 тисяч.

DIALOG_PIRATE_BUSINESS_SHIP_SNAP|Маю ранню версію будівельного корабля. Його двері мають дві рухомі частини, що відчиняються, а не одну, як у сучасних кораблів, завдяки чому вони мають більш центральний отвір. Прошивка навіть містить звуки з відеоігор кінця 20-го століття. 500 тисяч за судно.

DIALOG_PIRATE_BUSINESS_SHIP_OK720|Маємо дуже дивний проектний корабель, до корпусу одного з невдалих кораблів K44 приварено вантажний відсік OCP. По суті, величезний відсік для одного з них. 300 тисяч за повний комплект.

DIALOG_PIRATE_BUSINESS_SHIP_RAM|У мене є цивільна модифікація K37, що надає декілька функцій кораблів класу Prospector. Дуже функціональна і добра для видобутку, але трохи незручна для польоту. 250 тисяч за судно.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_COTHON_MKI|Знайшли один з модифікованих кораблів Котон від KTI. Досить добре тримається як гірничий корабель порівняно з іншими більш сучасними судами, тому явно має свою цінність. 250 тисяч за одиницю.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_COTHON_MKII|Знайшли один з модифікованих кораблів Котон від KTI. Досить добре тримається як гірничий корабель порівняно з іншими більш сучасними судами, тому явно має свою цінність. 250 тисяч за одиницю.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_K225|Знайшли один з комплектів модернізації Титана від KTI. Схожий на стандартний Титан, з декількома додатковими позиціями обладнання, з головною особливістю у вигляді другого слоту допоміжної системи живлення. Ваш за 1,25 мільйона.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_KSERIES|Одна з модифікацій K-Series від KTI потрапила до наших рук. Це модифікація K37. По суті, додає декілька док-відсіків до стандартного комплекту, нічого особливого. 250 тисяч за штуку.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_KSERIES_LCB|Одна з модифікацій K-Series від KTI потрапила до наших рук. Це модифікація KX37. По суті, додає декілька док-відсіків до стандартного комплекту, нічого особливого. 250 тисяч за штуку.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_KITSUMO|Один з демілітаризованих Kitsune потрапив до нас, і ми мали один, що валявся. Це одна з спроб KTI покращити його високостресовою точкою кріплення та слотом для смолоскипа. Не побачили особливого сенсу у використанні, тому можемо запропонувати вам. Пропонуємо рівно 250 тисяч за нього.

DIALOG_PIRATE_BUSINESS_SHIP_KTI_OCP230|Дехто з будівельної бригади Обонто Сім залишив один із своїх кораблів незамкненим під час інспекційної перерви. Якимось чином вдалося забрати його так, що вони не помітили, поки не стало надто пізно. Схоже, це одна з модифікацій КТІ. Він занадто незграбний, як на наш смак, тож ви можете глянути на нього за 500 тисяч.

DIALOG_HABITAT_BUILDING_CONTAINER_YOU_SEEM|Знаєте, я здивований, що ваша надбудова ще не закінчена, хіба ви не отримуєте вантажі, а також шахтарі, які постачають вам мінерали, коли минають повз?

DIALOG_HABITAT_BUILDING_CONTAINER_REASON|Зазвичай ми би не розповідали про це навіть підрядникам, але ми вважаємо, що ви заслуговуєте на довіру. \n\nУ нас є один підрядник, якому вдалося роздобути ліцензію на експериментальні міжпланетні контейнери. Вони відправили нам їх замість стандартних вантажних контейнерів, хоч і повільніше, ніж звичайні контейнери, але зате вони забезпечили швидший спосіб їх отримання. \n\nвичайно, з цим був пов'язаний ризик. Менша кількість окремих відправок означає більший вплив, якщо щось піде не так, що і сталося. Більшість запланованих відправок зникли, і ми вже давно не бачили підрядника, щоб змінити замовлення. Дехто повідомляв, що контейнери працюють без транспондера, тож ми можемо лише припустити, що це піратство.

DIALOG_HABITAT_BUILDING_CONTAINER_OBTAIN|одо того, як вони отримали ліцензію, ми не можемо сказати напевно, але вважаємо, що це якась форма дідвовського положення на верфі Енцелада Прайм. Щось пов'язане з тим, що обладнання може використовувати протоколи безпеки, надані йому на момент видачі ліцензії. Ймовірно, це означає, що вони знайшли один із кораблів, покинутих у кільцях з часів їх випробувань. По суті, це означає, що якщо ви зможете знайти корабель, який все ще має діючу ліцензію на них, ви зможете встановити їх на свій корабель.

DIALOG_HABITAT_BUILDING_CONTAINER_HELP|Perhaps if you ask around with other crews, you may be able to find someone who knows something about them, and they may be able to help more than we can.

MENU_DERELICTDELIGHTS_CONFIG|Налаштування Derelict Delights

SETTINGS_ADD_EQUIPMENT|Додати нове обладнання

SETTINGS_ADD_EQUIPMENT_TOOLTIP|Додає обладнання, яке надає Derelict Delights. \nВключає міжмісячний контейнер THI та експериментальний міжпланетний контейнер. \nОстанній може вимагати активації інших перемикачів для отримання, оскільки це квестовий предмет.

SETTINGS_ADD_AGENDAS|Додати нові цілі екіпажу

SETTINGS_ADD_AGENDAS_TOOLTIP|Основний перемикач, що активує всі налаштування з розділу «Цілі».

SETTINGS_ADD_EVENTS|Додати нові події

SETTINGS_ADD_EVENTS_TOOLTIP|Основний перемикач для активації подій, що надаються цим модом.

SETTINGS_REQUEST_NEW_CONTAINERS|Активувати запити контейнерів

SETTINGS_REQUEST_NEW_CONTAINERS_TOOLTIP|Додає нову опцію діалогу до будь-якого варіанту вантажного контейнера, яка дозволяє запитати новий вантажний або моно-вантажний контейнер.

SETTINGS_ADD_OBONTO_BALANCE|Нові торгові пропозиції з житловими станціями Obonto та ребалансування

SETTINGS_ADD_OBONTO_BALANCE_TOOLTIP|Переробка торгівлі з Obonto: Дає можливість торгувати вольфрамом або берилієм. \nДодає обмеження маси всіх мінералів, щоб зробити торгівлю з житловими станціями трохи менш ефективною стратегією. \nОбмеження знижені до 50% і 25% від звичайних мінеральних обмежень для вольфраму і берилію відповідно.

SETTINGS_EXPAND_SHIP_LOADOUTS|Розширити конфігурації кораблів

SETTINGS_EXPAND_SHIP_LOADOUTS_TOOLTIP|Додає додаткові стандартні конфігурації для кораблів у дилерів, NPC-шахтарів та покинутих кораблів. \nМожна запропонувати нові варіанти через кнопку в головному меню.

SETTINGS_ADD_MOD_SUPPORT|Увімкнути підтримку модів

SETTINGS_ADD_MOD_SUPPORT_TOOLTIP|Основний перемикач для активації підтримки всіх модів. Перевірте файл DDSettings.cfg у папці збережень або запитайте на сторінці мода, щоб дізнатися, які моди підтримуються.

SETTINGS_ADD_DERELICTS|Розширити пул покинутих кораблів

SETTINGS_ADD_DERELICTS_TOOLTIP|Додає 14 стандартних варіантів кораблів, які не зустрічаються в покинутому стані, до пулу подій. \nНеобхідно для модифікованих покинутих кораблів.

SETTINGS_ADD_NEW_NPCS|Розширити вибір кораблів для NPC

SETTINGS_ADD_NEW_NPCS_TOOLTIP|Додає 13 стандартних кораблів до пулу, який можуть використовувати NPC. \nКораблі K44 та K225 (модифікований) ще не були знайдені Гільдією шахтарів. Необхідно для модифікованих NPC.

SETTINGS_ADD_HABITAT_UNDER_CONSTRUCTION|Додати житлову cтанція у будівництві

SETTINGS_ADD_HABITAT_UNDER_CONSTRUCTION_TOOLTIP|SRA-08 можна знайти у кільцях. Має унікальні торгові угоди та взаємодії, і необхідна для великої частини сюжетних ліній історика.

SETTINGS_ADD_NEW_FACTION_ENCOUNTERS|Увімкнути нові фракційні події

SETTINGS_ADD_NEW_FACTION_ENCOUNTERS_TOOLTIP|Додає нові зустрічі з Вілсі та Ганімедцями. Деякі відбуваються після знищення відповідної станції.

SETTINGS_ADD_NEW_ROGUE_CONTAINERS|Непідконтрольні контейнери використовують обладнання Derelict Delights

SETTINGS_ADD_NEW_ROGUE_CONTAINERS_TOOLTIP|Непідконтрольні контейнери використовують міжмісячні та міжпланетні контейнери. Необхідно для сюжетної лінії історика.

SETTINGS_EXPAND_PIRATE_TRADES|Розширити пропозиції піратів

SETTINGS_EXPAND_PIRATE_TRADES_TOOLTIP|Додає додаткові торгові пропозиції від піратів, крім 4 стандартних, хоча вони зустрічаються значно рідше.

SETTINGS_ADD_HISTORIAN_AGENDA|Add the Historian Crew Agenda

SETTINGS_ADD_HISTORIAN_AGENDA_TOOLTIP|Enables the Historian crew agenda and respective storylines. Requires several other toggles to function.

SETTINGS_SUPPORT_IOE|Підтримка кораблів Industries of Enceladus

SETTINGS_SUPPORT_IOE_TOOLTIP||Додає події, пов’язані з кораблями з моду Industries of Enceladus. \nПідтримує як оригінальну версію SPDX, так і HEV-переробку IoE.

SETTINGS_SUPPORT_KITSUMO|Підтримка корабля KTI Kitsumo

