locale|en
DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_PELICAN|We've got our hands on a large Prospector. It's bay is huge for what it is, and it's mass is probably what got it in trouble to begin with. I couldn't tell you if it's flightworthy with the state it's in. 250 grand for it and I hope you'll see it gone.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_VULTURE|I've got a Prospector-K37 hybrid build stored up around here. It's nice to have with it's equipment, but sure is it uncomfortable to fly. We want it off our hands and will hand you the coords for 200 grand.

DIALOG_PIRATE_BUSINESS_SHIP_OCP|Some of the construction crew for Obonto Seven left one of their ships unlocked while on an inspection break. Somehow managed to take it without them noticing until too late. It's too unwieldy for our liking, so you can take a look for 300 grand.

DIALOG_PIRATE_BUSINESS_SHIP_TITAN|Got a derelict Titan of all things stored up, cargo pods and everything. Huge thing it is, but damages to the rim and back. We can let you take it for half a mega.

DIALOG_PIRATE_BUSINESS_SHIP_TITAN_BB|Have one of those hollowed-out Titans at hand. Beast of a ship with a cargo bay of an even bigger beast, although it does lack some of it's bays. We're offering half a mega for it.

DIALOG_PIRATE_BUSINESS_SHIP_TITAN_M|A buddy discovered this very weird modification of a Titan. All of the docking bays got switched out with torch fittings, and it seems to have gotten a research package installed. Got the Faraday cage and everything. Looked like we weren't the first ones there as the airlock was broke. You can take it to fix up for a mega.

DIALOG_PIRATE_BUSINESS_SHIP_EIME|Found an EIME abandoned not too far from here. Surprising find to us at least as those ships are tough as nails when we try to engage with them. It's a total wreck, but you can have it for 750 grand.

DIALOG_PIRATE_BUSINESS_SHIP_K37_I|I have a K37 in decent condition, still with transponders. Bit of holes in the reactor and some stains, but nothing a good mechanic can't take care of. I can sell it to you for 200 grand.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_I|We have a Prospector for sale. Cleared on the station a legitimate derelict after a mining accident. That one is not spaceworthy. 200 grand.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_I|I got my hands on an early Cothon, in pretty good condition. Legitimate salvage, transponder still on, listed as missing. The reactor is still a bit leaky. On sale for 200 grand.

DIALOG_PIRATE_BUSINESS_ORE_I|We have some ore to sell. High quality, processed, just waiting in the rings in a nice, tidy container. You just need to bring a cradle with you and grab it. 100 grand and it's yours.

DIALOG_PIRATE_BUSINESS_ORE_II|We have some ore to sell. High quality, processed, just waiting in the rings in a nice, tidy container. You just need to bring a cradle with you and grab it. 100 grand and it's yours.

DIALOG_PIRATE_BUSINESS_ORE_III|We have some ore to sell. High quality, processed, just waiting in the rings in a nice, tidy container. You just need to bring a cradle with you and grab it. 100 grand and it's yours.

DIALOG_PIRATE_BUSINESS_ORE_IV|We have some ore to sell. High quality, processed, just waiting in the rings in a nice, tidy container. You just need to bring a cradle with you and grab it. 100 grand and it's yours.

DIALOG_PIRATE_BUSINESS_ORE_V|We have some ore to sell. High quality, processed, just waiting in the rings in a nice, tidy container. You just need to bring a cradle with you and grab it. 100 grand and it's yours.

DIALOG_PIRATE_BUSINESS_ORE_VI|We have a large quantity of ore to sell. High quality processed ore, stored in one of THI's supercontainers. You just need to bring a cradle and your wits with you to grab it. 100 grand and it's yours.

DIALOG_PIRATE_BUSINESS_ORE_BIG_INSTRUCTIONS|Pleasure doing business with you. The container won't recognize you and will try to evade you. Like usual, it's no racing drone, however it's got a heck of a lot more power behind it than the usual THICC. Look for a LIDAR contact and go after it. Remember to bring a cradle or an arm - it will shut itself down once you are in EVA distance.

SYSTEM_EXBIG|THI Interlunar Container

SYSTEM_EXBIG_DESC|From the success that THI's previous cargo solutions venture had become, they started work on a successor that would be increasingly practical for interplanetary transportation. As successful as the initial venture was, the containers were too bulky for commercial use, so a consumer-grade model was produced for interlunar transportation between the rings. Considerably more managable for miners, and the lack of a need for specialized thrust to power them made maintenance equivalent to that of the original Cargo Container line, however installation costs still make the THICC popular among startups.

SYSTEM_EXBIG_SPECS|Cargo capacity: 45,000 kg / mineral \nPower usage (nominal): 20 MW \nDry Mass: 5,000 kg \nCradle mass: 500 kg \nReaction Mass Tank: 4,500 kg \nManufacturer: Titan Heavy Industries, Experimental Resize

SYSTEM_EXBIG_MANUAL|Automatically stores processed ore.\nYou can customize ore stored on Geologist tab.\nRequires mineral processing unit to be used effectively.\nWill unbalance the ship if only one is installed.\nCan be ejected by disabling the hardpoint.\nThe ejected container will attempt to return to the station with its cargo automatically.\nEmpty cradle arm can catch drones and lifepods.

POI_SCRAP|Mining Incident Site

DIALOG_POI_RANDOM_6|Captain, one of my old colleagues looked me out in my quarters while we were back on Enceladus. They told me that my old captain had gotten into a mining incident. Can we take a look to see if they're ok?

DERELICTDELIGHTS_SUGGEST|Suggest New Ship Loadouts

DIALOG_STORAGE_THX|Container should appear on LIDAR soon. You will need to manually collect the container for safety protocols. Note that containers cannot be sent in quick succession.

NEARBYCONTAINER|Empty Cargo Unit Nearby

NEARBYCONTAINERMONO|Empty Monocargo Unit Nearby

DIALOG_STORAGE_NEED_CONTAINER|I need a replacement container

DIALOG_STORAGE_THIMC|I need a new monocargo container!

DIALOG_STORAGE_THICC|I need a new cargo container!

DIALOG_STORAGE_OPTIONS|Which container type would you like?

DIALOG_HABITAT_NEED_W|Welcome {target/shipname}. Do you have processed tungsten for trade? The habitat's skeleton could do with a patch up.

DIALOG_HABITAT_NEED_W_DESPERATE|I'm really glad to see you {target/shipname}, we could really use some processed tungsten, the skeleton's lost some integrity. We'll pay you a premium.

DIALOG_HABITAT_NEED_BE|Welcome {target/shipname}. Do you have processed beryllium for trade? Our reactor could do with a stock up of spare reflectors.

DIALOG_HABITAT_NEED_BE_DESPERATE|I'm really glad to see you {target/shipname}, we could really use some processed beryllium, our reactor's in need of some maintenance and we don't have enough reflectors. We'll pay you a premium.

DIALOG_INTERPLANETARY_WEIRD|Doesn't that container look large for even an interlunar one, and what are those thrusters?

AGENDA_HACKER_INTERPLANETARY_IS_IT|Hold on, isn't this one of those interplanetary containers?

POI_HABITAT_BUILDING|Habitat-Under-Construction - Obonto Eight

DIALOG_HABITAT_CONSTRUCTION_NEED_W|Welcome {target/shipname}. Do you have processed tungsten for trade? Our skeleton needs a quick reinforcement before being bolted down.

DIALOG_HABITAT_CONSTRUCTION_NEED_W_DESPERATE|I'm really glad to see you {target/shipname}, we could really do with some processed tungsten, we're behind schedule for finishing the skeleton and our shipment is already late. We'll pay you a premium.

DIALOG_HABITAT_CONSTRUCTION_NEED_V|Welcome {target/shipname}. Do you have processed vanadium for trade? We are in need of a restock on our toolheads.

DIALOG_HABITAT_CONSTRUCTION_NEED_V_DESPERATE|I'm really glad to see you {target/shipname}, we are in desperate need for some vanadium, we're completely out of toolheads and our shipment is running late. We'll pay you a premium.

DIALOG_HABITAT_CONSTRUCTION_NEED_FE|Welcome {target/shipname}. Do you have processed iron for trade? We could use some extra to help reinforce our frame.

DIALOG_HABITAT_CONSTRUCTION_NEED_FE_DESPERATE|I'm really glad to see you {target/shipname}, we're in dire need of some iron, we're in desperate need of some patchwork to the frame and our shipment is running late. We'll pay you a premium.

DIALOG_HABITAT_CONSTRUCTION_NEED_PT|Welcome {target/shipname}. Do you have processed platinum for trade? We need some to fix up a faulty wiring situation.

DIALOG_HABITAT_CONSTRUCTION_NEED_PT_DESPERATE|I'm really glad to see you {target/shipname}, we are in desperate need for some platinum, we're got severe electrical problems and our shipment is running late. We'll pay you a premium.

DIALOG_HABITAT_CONSTRUCTION_NEED_PD|Welcome {target/shipname}. Do you have processed palladium for trade? We could do with a replenishment of our scrubbers.

DIALOG_HABITAT_CONSTRUCTION_NEED_PD_DESPERATE|I'm really glad to see you {target/shipname}, we are in desperate need for some palladium, we're in desperate need for some work on our scrubbers. We'll pay you a premium.

DIALOG_HABITAT_CONSTRUCTION_NEED_BE|Welcome {target/shipname}. Do you have processed beryllium for trade? Our reactor could do with some spare reflectors.

DIALOG_HABITAT_CONSTRUCTION_NEED_BE_DESPERATE|I'm really glad to see you {target/shipname}, we could really use some processed beryllium, our reactor's in dire need of some maintenance from exposure and we don't have enough reflectors. We'll pay you a premium.

DIALOG_HABITAT_CONSTRUCTION_NEED_WATER|Welcome {target/shipname}. Do you have remass for trade? We're close to going negative on our water consumption balance/

DIALOG_HABITAT_CONSTRUCTION_NEED_WATER_DESPERATE|I'm really glad to see you {target/shipname}, we are in desperate need for some remass, our water tank is close to empty and we don't have a processor to reclaim it. We'll pay you a premium.
